1,0,1,0,4,5,3,15,0025703F
1,0,14,16,0,6,28,31,0025828F
1,0,14,16,0,14,28,31,0026028F
1,0,1,0,5,19,3,15,0026103F
1,0,14,16,1,14,28,31,0026128F
1,0,3,10,9,15,6,25,0026706F
1,0,15,12,5,9,29,27,0026829F
1,0,1,10,1,14,3,25,0026903F
1,0,14,16,3,6,28,31,0026928F
1,0,1,0,0,14,3,15,0027003F
1,0,14,16,2,10,28,31,0027128F
1,0,17,12,3,20,33,27,0027133F
1,0,14,16,0,20,28,31,0027228F
1,0,14,16,0,12,28,31,0027428F
1,0,14,16,2,3,28,31,0027528F
1,0,1,0,6,18,3,15,0027603F
1,0,12,16,1,16,24,31,0027624F
1,0,14,16,1,20,28,31,0027628F
1,0,1,0,1,8,3,15,0027703F
1,0,14,16,0,20,28,31,0027728F
1,0,1,0,4,14,3,15,0027803F
1,0,14,16,5,20,28,31,0027828F
1,0,1,0,3,5,3,15,0027903F
1,0,14,16,0,6,28,31,0027928F
1,0,3,10,9,17,6,25,0028006F
1,0,3,0,9,15,6,15,0028206F
1,0,15,12,0,19,29,27,0028229F
1,0,3,17,9,11,6,32,0028306F
1,0,3,19,9,18,6,34,0028406F
1,0,14,12,3,8,28,27,0028428F
1,0,17,12,1,17,33,27,0028433F
1,0,13,12,3,10,27,27,0028627F
1,0,15,12,9,20,29,27,0028629F
1,0,15,12,4,11,29,27,0028729F
1,0,3,10,9,13,6,25,0028906F
1,0,1,0,0,6,3,15,0029003F
1,0,3,19,9,17,6,34,0029006F
1,0,1,0,3,15,3,15,0029103F
1,0,15,12,0,7,29,27,0029129F
1,0,17,12,2,8,33,27,0029133F
1,0,1,0,3,15,3,15,0029203F
1,0,1,0,0,9,3,15,0029303F
1,0,15,12,1,18,29,27,0029529F
1,0,3,9,9,20,6,24,0029706F
1,0,1,0,0,16,3,15,0029803F
1,0,17,12,5,20,33,27,0029933F
1,0,3,9,8,20,6,24,0030006F
1,0,14,16,5,14,28,31,0030028F
1,0,15,9,3,6,29,24,0030029F
1,0,17,12,1,20,33,27,0030133F
1,0,15,9,6,20,29,24,0030229F
1,0,3,0,8,20,6,15,0030306F
1,0,17,12,2,4,33,27,0030433F
1,0,15,9,4,14,29,24,0030729F
1,0,15,10,2,12,29,25,0030829F
1,0,17,12,1,11,33,27,0030833F
1,0,17,12,2,20,33,27,0031033F
1,0,15,9,1,15,29,24,0031129F
1,0,14,16,3,8,28,31,0031228F
1,0,15,9,8,20,29,24,0031229F
1,0,14,16,2,19,28,31,0031328F
1,0,14,16,2,18,28,31,0031428F
1,0,15,9,0,11,29,24,0031529F
1,0,17,12,3,4,33,27,0031633F
1,0,3,6,8,17,6,21,0031906F
1,0,17,12,0,15,33,27,0031933F
1,0,1,0,4,14,3,15,0032203F
1,0,15,12,0,6,29,27,0032229F
1,0,17,12,5,12,33,27,0032233F
1,0,13,0,2,19,27,15,0032327F
1,0,12,10,1,12,24,25,0032424F
1,0,15,10,3,15,29,25,0032629F
1,0,15,10,5,8,29,25,0032729F
1,0,3,19,9,13,6,34,0032806F
1,0,15,10,0,1,29,25,0032829F
1,0,1,0,4,6,3,15,0032903F
